uid,table_name,name,data_type,nullable,description
PO_HEADERS_ALL.NOTE_TO_VENDOR,PO_HEADERS_ALL,NOTE_TO_VENDOR,VARCHAR2,Yes,Note to the supplier
PO_HEADERS_ALL.NOTE_TO_RECEIVER,PO_HEADERS_ALL,NOTE_TO_RECEIVER,VARCHAR2,Yes,Note to the receiver of the purchase order
PO_HEADERS_ALL.VENDOR_ORDER_NUM,PO_HEADERS_ALL,VENDOR_ORDER_NUM,VARCHAR2,Yes,"Indicates supplier document number, it gets copied from PO_HEADERS_INTERFACE.vendor_doc_num"
PO_HEADERS_ALL.CONFIRMING_ORDER_FLAG,PO_HEADERS_ALL,CONFIRMING_ORDER_FLAG,VARCHAR2,Yes,Indicates whether the purchase order is a confirming order or not
PO_HEADERS_ALL.COMMENTS,PO_HEADERS_ALL,COMMENTS,VARCHAR2,Yes,Descriptive comments for the document
PO_HEADERS_ALL.ACCEPTANCE_REQUIRED_FLAG,PO_HEADERS_ALL,ACCEPTANCE_REQUIRED_FLAG,VARCHAR2,Yes,Indicates whether acceptance from the supplier is required or not
PO_HEADERS_ALL.ACCEPTANCE_DUE_DATE,PO_HEADERS_ALL,ACCEPTANCE_DUE_DATE,DATE,Yes,Date by which the supplier should accept the purchase order
PO_HEADERS_ALL.CLOSED_DATE,PO_HEADERS_ALL,CLOSED_DATE,DATE,Yes,Date the document was closed
PO_HEADERS_ALL.CANCEL_FLAG,PO_HEADERS_ALL,CANCEL_FLAG,VARCHAR2,Yes,Indicates whether the purchase order is cancelled or not
PO_HEADERS_ALL.FIRM_STATUS_LOOKUP_CODE,PO_HEADERS_ALL,FIRM_STATUS_LOOKUP_CODE,VARCHAR2,Yes,Indicates whether you want to prevent this purchase order from being automatically rescheduled by your manufacturing application
PO_HEADERS_ALL.FIRM_DATE,PO_HEADERS_ALL,FIRM_DATE,DATE,Yes,Date from which the purchase order is firmed
PO_HEADERS_ALL.FROZEN_FLAG,PO_HEADERS_ALL,FROZEN_FLAG,VARCHAR2,Yes,Indicates whether the document is frozen or not
PO_HEADERS_ALL.EDI_PROCESSED_FLAG,PO_HEADERS_ALL,EDI_PROCESSED_FLAG,VARCHAR2,Yes,EDI processed flag
PO_HEADERS_ALL.EDI_PROCESSED_STATUS,PO_HEADERS_ALL,EDI_PROCESSED_STATUS,VARCHAR2,Yes,EDI processing status flag
PO_HEADERS_ALL.GOVERNMENT_CONTEXT,PO_HEADERS_ALL,GOVERNMENT_CONTEXT,VARCHAR2,Yes,USSGL descriptive flexfield context column
PO_HEADERS_ALL.REQUEST_ID,PO_HEADERS_ALL,REQUEST_ID,NUMBER,Yes,Enterprise Service Scheduler: indicates the request ID of the job that created or last updated the row.
PO_HEADERS_ALL.JOB_DEFINITION_NAME,PO_HEADERS_ALL,JOB_DEFINITION_NAME,VARCHAR2,Yes,Enterprise Service Scheduler: indicates the name of the job that created or last updated the row.
PO_HEADERS_ALL.JOB_DEFINITION_PACKAGE,PO_HEADERS_ALL,JOB_DEFINITION_PACKAGE,VARCHAR2,Yes,Enterprise Service Scheduler: indicates the package name of the job that created or last updated the row.
PO_HEADERS_ALL.PROGRAM_NAME,PO_HEADERS_ALL,PROGRAM_NAME,VARCHAR2,Yes,PROGRAM_NAME
PO_HEADERS_ALL.PROGRAM_APP_NAME,PO_HEADERS_ALL,PROGRAM_APP_NAME,VARCHAR2,Yes,PROGRAM_APP_NAME
PO_HEADERS_ALL.SOLDTO_BU_ID,PO_HEADERS_ALL,SOLDTO_BU_ID,NUMBER,Yes,Sold to Business Unit Unique Identifier
PO_HEADERS_ALL.INTERFACE_SOURCE_CODE,PO_HEADERS_ALL,INTERFACE_SOURCE_CODE,VARCHAR2,Yes,Identifier for upstream integrating module. Reserved for internal use.
PO_HEADERS_ALL.REFERENCE_NUM,PO_HEADERS_ALL,REFERENCE_NUM,VARCHAR2,Yes,Audit trail reference (needed for 832 EDI transaction)
PO_HEADERS_ALL.PCARD_ID,PO_HEADERS_ALL,PCARD_ID,NUMBER,Yes,Unique identifer for the procurement card used for the order (References AP_CARDS_ALL.card_id)
PO_HEADERS_ALL.PRICE_UPDATE_TOLERANCE,PO_HEADERS_ALL,PRICE_UPDATE_TOLERANCE,NUMBER,Yes,Maximum percentage increase allowed in price/sales catalog update (832 EDI transaction) sent by supplier
PO_HEADERS_ALL.PAY_ON_CODE,PO_HEADERS_ALL,PAY_ON_CODE,VARCHAR2,Yes,Indicator of whether the purchase order will be paid upon receipt (References PO_LOOKUP_CODES.lookup_code with LOOKUP_TYPE='PAY ON CODE')
PO_HEADERS_ALL.XML_FLAG,PO_HEADERS_ALL,XML_FLAG,VARCHAR2,Yes,Indicator whether the delivery option is through XML.  Y if so.
PO_HEADERS_ALL.XML_SEND_DATE,PO_HEADERS_ALL,XML_SEND_DATE,DATE,Yes,"Date on which XML document is created, if XML delivery is used."
PO_HEADERS_ALL.XML_CHANGE_SEND_DATE,PO_HEADERS_ALL,XML_CHANGE_SEND_DATE,DATE,Yes,"Date on which the po change XML document generation date, if delivery option is XML."
PO_HEADERS_ALL.CONSIGNED_CONSUMPTION_FLAG,PO_HEADERS_ALL,CONSIGNED_CONSUMPTION_FLAG,VARCHAR2,Yes,Flag  indicates that  the purchase order is a consumption advice
PO_HEADERS_ALL.CBC_ACCOUNTING_DATE,PO_HEADERS_ALL,CBC_ACCOUNTING_DATE,DATE,Yes,Column used to store the accounting action date for dual budgetary control functionality.
PO_HEADERS_ALL.CONSUME_REQ_DEMAND_FLAG,PO_HEADERS_ALL,CONSUME_REQ_DEMAND_FLAG,VARCHAR2,Yes,Used by Oracle Sourcing- Tells whether user wanted to consume the req demand when creating a blanket
PO_HEADERS_ALL.CHANGE_REQUESTED_BY,PO_HEADERS_ALL,CHANGE_REQUESTED_BY,VARCHAR2,Yes,Change Requested By will track changes to Purchase Document from Supplier/ Requester
PO_HEADERS_ALL.SHIPPING_CONTROL,PO_HEADERS_ALL,SHIPPING_CONTROL,VARCHAR2,Yes,Indicator of who is responsible for arranging transportation (References PO_LOOKUP_CODES.lookup_code with LOOKUP_TYPE='SHIPPING CONTROL')
PO_HEADERS_ALL.CONTERMS_EXIST_FLAG,PO_HEADERS_ALL,CONTERMS_EXIST_FLAG,VARCHAR2,Yes,"Indicates if contract terms template is attached to the purchasing document or not. Applicable to Purchasing document of type Standard, Contract, Blanket"
PO_HEADERS_ALL.CONTERMS_ARTICLES_UPD_DATE,PO_HEADERS_ALL,CONTERMS_ARTICLES_UPD_DATE,DATE,Yes,"Timestamp for the last update to Contract Clauses.  Applicable to Purchasing document of type Standard, Contract, Blanket"
PO_HEADERS_ALL.CONTERMS_DELIV_UPD_DATE,PO_HEADERS_ALL,CONTERMS_DELIV_UPD_DATE,DATE,Yes,"Timestamp for the last update to Contract Deliverables. Applicable to Purchasing document of type Standard, Contract, Blanket"
PO_HEADERS_ALL.PENDING_SIGNATURE_FLAG,PO_HEADERS_ALL,PENDING_SIGNATURE_FLAG,VARCHAR2,Yes,"Indicates if the purchasing document is waiting for the signatures or not. Applicable to Purchasing document of type Standard, Contract, Blanket"
PO_HEADERS_ALL.CHANGE_SUMMARY,PO_HEADERS_ALL,CHANGE_SUMMARY,VARCHAR2,Yes,Description of changes made. This information is entered by the Buyer when submitting the document for approval and may be used in generating an amendment document.
PO_HEADERS_ALL.ENCUMBRANCE_REQUIRED_FLAG,PO_HEADERS_ALL,ENCUMBRANCE_REQUIRED_FLAG,VARCHAR2,Yes,Blanket or Global Agreement only: Indicates whether the document is to be encumbred or not
PO_HEADERS_ALL.DOCUMENT_CREATION_METHOD,PO_HEADERS_ALL,DOCUMENT_CREATION_METHOD,VARCHAR2,Yes,"Method in which the document got created - Autocreate, enter PO , etc..."
PO_HEADERS_ALL.SUBMIT_DATE,PO_HEADERS_ALL,SUBMIT_DATE,DATE,Yes,Date when document was first submitted for approval
PO_HEADERS_ALL.SUPPLIER_NOTIF_METHOD,PO_HEADERS_ALL,SUPPLIER_NOTIF_METHOD,VARCHAR2,Yes,Supplier Notification Method
PO_HEADERS_ALL.FAX,PO_HEADERS_ALL,FAX,VARCHAR2,Yes,Supplier Fax Number
PO_HEADERS_ALL.EMAIL_ADDRESS,PO_HEADERS_ALL,EMAIL_ADDRESS,VARCHAR2,Yes,Email address of the supplier for communication
PO_HEADERS_ALL.USE_ORDER_DATE_IN_PRICING_FLAG,PO_HEADERS_ALL,USE_ORDER_DATE_IN_PRICING_FLAG,VARCHAR2,Yes,This flag on the agreement indicates whether or not the order date should be used to derive price on the orders referencing the agreement
PO_HEADERS_ALL.RETRO_PRICE_COMM_UPDATES_FLAG,PO_HEADERS_ALL,RETRO_PRICE_COMM_UPDATES_FLAG,VARCHAR2,Yes,This flag on the agreement indicates whether or not orders that were repriced because of a price change on the referenced agreement should be communicated to the supplier.
PO_HEADERS_ALL.RETRO_PRICE_APPLY_UPDATES_FLAG,PO_HEADERS_ALL,RETRO_PRICE_APPLY_UPDATES_FLAG,VARCHAR2,Yes,This flag on the agreement indicates whether or not price updates on the agreement should be propagated to orders referencing the agreement.
PO_HEADERS_ALL.UPDATE_SOURCING_RULES_FLAG,PO_HEADERS_ALL,UPDATE_SOURCING_RULES_FLAG,VARCHAR2,Yes,Update sourcing rules flag
PO_HEADERS_ALL.AUTO_SOURCING_FLAG,PO_HEADERS_ALL,AUTO_SOURCING_FLAG,VARCHAR2,Yes,Enable automatic sourcing flag
PO_HEADERS_ALL.CREATED_LANGUAGE,PO_HEADERS_ALL,CREATED_LANGUAGE,VARCHAR2,Yes,Language code in which the GBPA was created.
PO_HEADERS_ALL.CPA_REFERENCE,PO_HEADERS_ALL,CPA_REFERENCE,NUMBER,Yes,This is to support the iP catalog upgrade for items that had a CPA reference prior to Release 12. This column is just for information purpose.
PO_HEADERS_ALL.STYLE_ID,PO_HEADERS_ALL,STYLE_ID,NUMBER,Yes,Determines the Purchasing Style of the document.
PO_HEADERS_ALL.LAST_UPDATED_PROGRAM,PO_HEADERS_ALL,LAST_UPDATED_PROGRAM,VARCHAR2,Yes,The program name that last updated the row.
PO_HEADERS_ALL.CAT_ADMIN_AUTH_ENABLED_FLAG,PO_HEADERS_ALL,CAT_ADMIN_AUTH_ENABLED_FLAG,VARCHAR2,Yes,Cat Admin Auth Enabled Flag
PO_HEADERS_ALL.RELEASE_METHOD,PO_HEADERS_ALL,RELEASE_METHOD,VARCHAR2,Yes,Release Method for ASL creation (Only for PA)
PO_HEADERS_ALL.REVIEW_AUTOGENERATED_RELEASES,PO_HEADERS_ALL,REVIEW_AUTOGENERATED_RELEASES,VARCHAR2,Yes,Review Autogenerated Releases(Only for PA)
PO_HEADERS_ALL.OBJECT_VERSION_NUMBER,PO_HEADERS_ALL,OBJECT_VERSION_NUMBER,NUMBER,Yes,Used to implement optimistic locking. This number is incremented every time that the row is updated. The number is compared at the start and end of a transaction to detect whether another session has updated the row since it was queried.
PO_HEADERS_ALL.MERGE_REQUEST_ID,PO_HEADERS_ALL,MERGE_REQUEST_ID,NUMBER,Yes,Merge Request ID Unique Identifier(References POZ_SUPPLIER_MERGE_REQUESTS.merge_request_id)
PO_HEADERS_ALL.USE_SALES_ORDER_NUMBER_FLAG,PO_HEADERS_ALL,USE_SALES_ORDER_NUMBER_FLAG,VARCHAR2,Yes,Indicates whether requisition lines should be grouped by Sales Order Number to create distinct purchase order.
PO_HEADERS_ALL.FUNDS_STATUS,PO_HEADERS_ALL,FUNDS_STATUS,VARCHAR2,Yes,status to indicate whether funds have been reserved on the document or not
PO_HEADERS_ALL.FIRST_PTY_REG_ID,PO_HEADERS_ALL,FIRST_PTY_REG_ID,NUMBER,Yes,First Party Tax Registration ID for the transaction.
PO_HEADERS_ALL.THIRD_PTY_REG_ID,PO_HEADERS_ALL,THIRD_PTY_REG_ID,NUMBER,Yes,Third Party Tax Registration ID for the transaction.
PO_HEADERS_ALL.DISABLE_AUTOSOURCING_FLAG,PO_HEADERS_ALL,DISABLE_AUTOSOURCING_FLAG,VARCHAR2,Yes,Disable Automatic Sourcing Flag
PO_HEADERS_ALL.PUNCHOUT_SOURCING_ONLY_FLAG,PO_HEADERS_ALL,PUNCHOUT_SOURCING_ONLY_FLAG,VARCHAR2,Yes,Automatic Sourcing of Punchout Requests Only
PO_HEADERS_ALL.BUDGET_CONTROL_ENABLED_FLAG,PO_HEADERS_ALL,BUDGET_CONTROL_ENABLED_FLAG,VARCHAR2,Yes,Flag to indicate if Budgetary conrol was enabled at the time of Purchase Order creation. Not applicable to Agreements.
PO_HEADERS_ALL.RETRO_PRICE_OPEN_ORDER_FLAG,PO_HEADERS_ALL,RETRO_PRICE_OPEN_ORDER_FLAG,VARCHAR2,Yes,This flag on the agreement indicates whether or not the retroactive price update background process should only reprice open unfulfilled orders referencing the agreement.
PO_HEADERS_ALL.RETRO_PRICE_INIT_APPROVAL_FLAG,PO_HEADERS_ALL,RETRO_PRICE_INIT_APPROVAL_FLAG,VARCHAR2,Yes,This flag on the agreement indicates whether or not the retroactive price update background process should be initiated upon agreement approval.
PO_HEADERS_ALL.REBUILD_INDEX,PO_HEADERS_ALL,REBUILD_INDEX,VARCHAR2,Yes,This column has an oracle text domain index defined to support keyword search.
PO_HEADERS_ALL.REFRESH_INDEX,PO_HEADERS_ALL,REFRESH_INDEX,VARCHAR2,Yes,"This column is updated anytime new document is created or an existing one is changed. Based on update to this column value, REBUILD INDEX is updated via ESS."
PO_HEADERS_ALL.ALLOW_MULTIPLE_SITES_FLAG,PO_HEADERS_ALL,ALLOW_MULTIPLE_SITES_FLAG,VARCHAR2,Yes,A flag to indicate that an agreement can be used across all supplier sites for a given supplier.
PO_HEADERS_ALL.USE_SHIP_TO_FOR_GROUP_REQS,PO_HEADERS_ALL,USE_SHIP_TO_FOR_GROUP_REQS,VARCHAR2,Yes,Checkbox to indicate whether to use ship-to organization and location when grouping requisitions
PO_HEADERS_ALL.MASTER_CONTRACT_ID,PO_HEADERS_ALL,MASTER_CONTRACT_ID,NUMBER,Yes,"The Master Contract Identifier. The master contract refers to the general contract that primarily serves to set the terms and conditions between parties at a high level that govern subsequent, more specific, contractual agreements."
